Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 62923)
rand_mask=b'V2R\xcc\x9b!El'
masked_addr=b'V\x87\xffo\x9a!El'
target_addr=00b5ada301000000
lowest_message_bit=15
key 0
1: expect=-2, actual=np.int64(-3), [0.928, 0.072, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
36: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.458, 0.530, 0.011, 0.000], checks for var: 19
37: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 19
38: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.077, 0.918, 0.005, 0.000, 0.000], checks for var: 19
40: expect=-1, actual=np.int64(0), [0.000, 0.008, 0.453, 0.534, 0.004, 0.001, 0.000], checks for var: 18
42: expect=0, actual=np.int64(-1), [0.016, 0.113, 0.868, 0.004, 0.000, 0.000, 0.000], checks for var: 19
43: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.132, 0.857, 0.011], checks for var: 17
47: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.002, 0.991, 0.006, 0.000], checks for var: 19
48: expect=-2, actual=np.int64(-1), [0.008, 0.018, 0.974, 0.000, 0.000, 0.000, 0.000], checks for var: 19
50: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.005, 0.994, 0.000, 0.000, 0.000], checks for var: 19
52: expect=-1, actual=np.int64(0), [0.000, 0.003, 0.453, 0.543, 0.001, 0.000, 0.000], checks for var: 19
53: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.002, 0.986, 0.012, 0.000], checks for var: 17
55: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.348, 0.636, 0.006, 0.010], checks for var: 19
56: expect=-3, actual=np.int64(-2), [0.101, 0.896, 0.003, 0.000, 0.000, 0.000, 0.000], checks for var: 18
59: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.678, 0.203, 0.118, 0.000, 0.000], checks for var: 18
60: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.967, 0.025, 0.009, 0.000], checks for var: 20
61: expect=1, actual=np.int64(0), [0.000, 0.000, 0.002, 0.878, 0.062, 0.054, 0.003], checks for var: 19
62: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.073, 0.918, 0.009, 0.000], checks for var: 20
63: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.219, 0.778, 0.003], checks for var: 16
68: expect=1, actual=np.int64(-1), [0.002, 0.004, 0.994, 0.000, 0.000, 0.000, 0.000], checks for var: 17
71: expect=-1, actual=np.int64(1), [0.000, 0.007, 0.058, 0.119, 0.813, 0.002, 0.000], checks for var: 20
76: expect=-2, actual=np.int64(1), [0.020, 0.172, 0.203, 0.006, 0.505, 0.094, 0.000], checks for var: 20
78: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.900, 0.099, 0.000, 0.000], checks for var: 17
79: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.077, 0.922, 0.001, 0.000, 0.000], checks for var: 19
83: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.005, 0.995, 0.000, 0.000, 0.000], checks for var: 19
85: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.005, 0.650, 0.345, 0.000], checks for var: 18
86: expect=-2, actual=np.int64(-1), [0.000, 0.001, 0.955, 0.043, 0.000, 0.000, 0.000], checks for var: 19
87: expect=1, actual=np.int64(0), [0.000, 0.000, 0.002, 0.967, 0.031, 0.000, 0.000], checks for var: 17
88: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.692, 0.308, 0.000, 0.000], checks for var: 17
89: expect=0, actual=np.int64(-1), [0.042, 0.037, 0.920, 0.001, 0.000, 0.000, 0.000], checks for var: 16
91: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000], checks for var: 16
92: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.204, 0.781, 0.015, 0.000, 0.000], checks for var: 20
94: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.575, 0.425], checks for var: 20
95: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.001, 0.038, 0.960, 0.001], checks for var: 19
96: expect=0, actual=np.int64(-1), [0.006, 0.011, 0.971, 0.007, 0.000, 0.005, 0.000], checks for var: 18
97: expect=-2, actual=np.int64(-1), [0.005, 0.042, 0.951, 0.002, 0.000, 0.000, 0.000], checks for var: 17
100: expect=-1, actual=np.int64(-2), [0.001, 0.876, 0.113, 0.009, 0.000, 0.000, 0.000], checks for var: 18
102: expect=0, actual=np.int64(-3), [0.644, 0.356, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 20
104: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.096, 0.902, 0.001], checks for var: 15
105: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.001, 0.998, 0.000, 0.000, 0.000], checks for var: 19
107: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.852, 0.147, 0.001], checks for var: 19
110: expect=0, actual=np.int64(-1), [0.000, 0.014, 0.571, 0.382, 0.033, 0.000, 0.000], checks for var: 18
112: expect=-2, actual=np.int64(-3), [0.878, 0.122, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
113: expect=-2, actual=np.int64(-1), [0.000, 0.000, 0.997, 0.003, 0.000, 0.000, 0.000], checks for var: 18
117: expect=-2, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 16
118: expect=0, actual=np.int64(-1), [0.000, 0.006, 0.986, 0.008, 0.000, 0.000, 0.000], checks for var: 19
120: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.992, 0.008, 0.000, 0.000], checks for var: 16
121: expect=-2, actual=np.int64(-1), [0.083, 0.187, 0.731, 0.000, 0.000, 0.000, 0.000], checks for var: 20
122: expect=-2, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 17
127: expect=0, actual=np.int64(-1), [0.000, 0.008, 0.597, 0.393, 0.002, 0.000, 0.000], checks for var: 17
128: expect=-2, actual=np.int64(-3), [0.970, 0.030, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
132: expect=-1, actual=np.int64(-2), [0.001, 0.997, 0.002, 0.000, 0.000, 0.000, 0.000], checks for var: 18
135: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.025, 0.930, 0.046, 0.000], checks for var: 20
138: expect=0, actual=np.int64(1), [0.000, 0.001, 0.013, 0.009, 0.977, 0.000, 0.000], checks for var: 16
139: expect=-2, actual=np.int64(-1), [0.002, 0.152, 0.833, 0.009, 0.002, 0.000, 0.000], checks for var: 16
142: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.999, 0.000], checks for var: 18
143: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.990, 0.010, 0.000, 0.000], checks for var: 18
144: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.998, 0.002, 0.000], checks for var: 17
146: expect=-1, actual=np.int64(0), [0.000, 0.005, 0.103, 0.858, 0.035, 0.000, 0.000], checks for var: 18
155: expect=0, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 17
156: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.243, 0.756, 0.001], checks for var: 19
157: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.996, 0.003, 0.000, 0.000], checks for var: 20
158: expect=0, actual=np.int64(-1), [0.002, 0.193, 0.790, 0.014, 0.000, 0.000, 0.000], checks for var: 19
160: expect=1, actual=np.int64(2), [0.000, 0.000, 0.011, 0.000, 0.014, 0.896, 0.079], checks for var: 19
161: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.996, 0.003, 0.000, 0.000], checks for var: 14
163: expect=-1, actual=np.int64(-2), [0.296, 0.655, 0.049, 0.000, 0.000, 0.000, 0.000], checks for var: 19
164: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.001, 0.746, 0.254], checks for var: 19
166: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.025, 0.877, 0.062, 0.035], checks for var: 18
168: expect=1, actual=np.int64(-1), [0.001, 0.436, 0.559, 0.001, 0.002, 0.000, 0.001], checks for var: 19
169: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.001, 0.993, 0.006, 0.000, 0.000], checks for var: 20
170: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.008, 0.972, 0.012, 0.008], checks for var: 18
174: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.001, 0.021, 0.959, 0.019], checks for var: 17
176: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.733, 0.266, 0.000], checks for var: 17
177: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.919, 0.081, 0.000, 0.000], checks for var: 18
178: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.937, 0.063, 0.000, 0.000, 0.000], checks for var: 18
184: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.002, 0.024, 0.974, 0.000, 0.000], checks for var: 19
187: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.831, 0.064, 0.104, 0.000, 0.000], checks for var: 20
189: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.008, 0.991, 0.000, 0.001, 0.000], checks for var: 20
190: expect=-3, actual=np.int64(-2), [0.082, 0.909, 0.009, 0.000, 0.000, 0.000, 0.000], checks for var: 19
191: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.579, 0.388, 0.022, 0.011], checks for var: 18
193: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.455, 0.544, 0.000, 0.000], checks for var: 16
198: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.538, 0.461, 0.000, 0.000], checks for var: 17
199: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.785, 0.070, 0.144], checks for var: 18
202: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.946, 0.054, 0.000], checks for var: 19
203: expect=-2, actual=np.int64(-1), [0.000, 0.000, 0.988, 0.011, 0.000, 0.000, 0.000], checks for var: 19
204: expect=-3, actual=np.int64(-2), [0.016, 0.539, 0.116, 0.322, 0.006, 0.000, 0.000], checks for var: 18
205: expect=-2, actual=np.int64(0), [0.000, 0.001, 0.002, 0.472, 0.185, 0.283, 0.056], checks for var: 18
206: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.992, 0.007, 0.001, 0.000], checks for var: 16
207: expect=0, actual=np.int64(-1), [0.000, 0.002, 0.995, 0.003, 0.000, 0.000, 0.000], checks for var: 17
208: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 19
209: expect=0, actual=np.int64(-1), [0.000, 0.007, 0.870, 0.122, 0.001, 0.000, 0.000], checks for var: 18
213: expect=0, actual=np.int64(-1), [0.000, 0.016, 0.973, 0.010, 0.000, 0.000, 0.000], checks for var: 16
214: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.005, 0.186, 0.807, 0.003], checks for var: 18
216: expect=3, actual=np.int64(1), [0.000, 0.000, 0.000, 0.018, 0.581, 0.394, 0.007], checks for var: 18
217: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.940, 0.059, 0.000, 0.000], checks for var: 18
218: expect=1, actual=np.int64(0), [0.000, 0.000, 0.011, 0.988, 0.001, 0.000, 0.000], checks for var: 16
221: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.046, 0.931, 0.022, 0.001], checks for var: 17
223: expect=-1, actual=np.int64(0), [0.000, 0.003, 0.118, 0.752, 0.126, 0.001, 0.000], checks for var: 20
224: expect=-2, actual=np.int64(-1), [0.032, 0.073, 0.894, 0.000, 0.000, 0.000, 0.000], checks for var: 18
225: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.992, 0.007, 0.000], checks for var: 18
226: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.829, 0.170, 0.000, 0.000], checks for var: 17
227: expect=3, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.882, 0.089, 0.029], checks for var: 17
233: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.002, 0.996, 0.001, 0.001, 0.000], checks for var: 17
234: expect=0, actual=np.int64(-1), [0.009, 0.024, 0.967, 0.000, 0.000, 0.000, 0.000], checks for var: 19
235: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.003, 0.997, 0.000, 0.000, 0.000], checks for var: 17
237: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.002, 0.281, 0.706, 0.012], checks for var: 20
245: expect=-2, actual=np.int64(-1), [0.000, 0.001, 0.978, 0.018, 0.002, 0.000, 0.000], checks for var: 18
246: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.997, 0.002, 0.000], checks for var: 18
247: expect=-1, actual=np.int64(-2), [0.011, 0.934, 0.053, 0.002, 0.000, 0.000, 0.000], checks for var: 20
248: expect=0, actual=np.int64(-1), [0.001, 0.017, 0.981, 0.001, 0.000, 0.000, 0.000], checks for var: 15
249: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.740, 0.260, 0.001, 0.000, 0.000], checks for var: 19
250: expect=-2, actual=np.int64(0), [0.000, 0.001, 0.251, 0.747, 0.000, 0.000, 0.000], checks for var: 18
252: expect=-2, actual=np.int64(-1), [0.001, 0.004, 0.957, 0.005, 0.032, 0.001, 0.000], checks for var: 16
255: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 16
257: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.798, 0.166, 0.031, 0.004], checks for var: 16
258: expect=2, actual=np.int64(1), [0.000, 0.001, 0.028, 0.058, 0.911, 0.001, 0.000], checks for var: 19
261: expect=1, actual=np.int64(0), [0.000, 0.000, 0.011, 0.989, 0.000, 0.000, 0.000], checks for var: 17
265: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.002, 0.008, 0.908, 0.082], checks for var: 20
266: expect=-1, actual=np.int64(-3), [0.780, 0.220, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 17
268: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.252, 0.748, 0.000, 0.000], checks for var: 18
270: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.037, 0.808, 0.153, 0.002, 0.000], checks for var: 19
273: expect=1, actual=np.int64(-1), [0.003, 0.100, 0.614, 0.284, 0.000, 0.000, 0.000], checks for var: 18
274: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.001, 0.017, 0.983], checks for var: 17
275: expect=-2, actual=np.int64(1), [0.001, 0.007, 0.000, 0.002, 0.989, 0.001, 0.000], checks for var: 16
276: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.000, 0.998, 0.000, 0.000, 0.000], checks for var: 20
277: expect=-1, actual=np.int64(-2), [0.051, 0.918, 0.032, 0.000, 0.000, 0.000, 0.000], checks for var: 18
278: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.719, 0.015, 0.263, 0.003], checks for var: 19
279: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.007, 0.993], checks for var: 18
281: expect=1, actual=np.int64(0), [0.000, 0.000, 0.020, 0.887, 0.092, 0.000, 0.000], checks for var: 19
282: expect=1, actual=np.int64(0), [0.000, 0.003, 0.010, 0.986, 0.001, 0.000, 0.000], checks for var: 15
284: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.068, 0.928, 0.002, 0.000], checks for var: 16
286: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.004, 0.996, 0.000, 0.000], checks for var: 19
289: expect=-3, actual=np.int64(0), [0.000, 0.000, 0.012, 0.963, 0.025, 0.000, 0.000], checks for var: 20
293: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.216, 0.375, 0.409], checks for var: 17
295: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.126, 0.873, 0.001, 0.000, 0.000], checks for var: 19
296: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.002, 0.990, 0.005, 0.002], checks for var: 16
300: expect=-1, actual=np.int64(-2), [0.000, 0.832, 0.168, 0.000, 0.000, 0.000, 0.000], checks for var: 19
301: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.981, 0.019, 0.000], checks for var: 17
302: expect=0, actual=np.int64(-1), [0.000, 0.096, 0.889, 0.015, 0.000, 0.000, 0.000], checks for var: 19
303: expect=2, actual=np.int64(0), [0.094, 0.017, 0.057, 0.832, 0.000, 0.000, 0.000], checks for var: 20
304: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.977, 0.023, 0.000, 0.000], checks for var: 17
306: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.828, 0.154, 0.017, 0.000], checks for var: 17
307: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.997, 0.001, 0.000, 0.000], checks for var: 17
312: expect=1, actual=np.int64(0), [0.000, 0.000, 0.049, 0.880, 0.071, 0.000, 0.000], checks for var: 18
313: expect=-3, actual=np.int64(-2), [0.074, 0.926, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 20
315: expect=2, actual=np.int64(0), [0.000, 0.054, 0.009, 0.910, 0.019, 0.006, 0.002], checks for var: 18
317: expect=-3, actual=np.int64(-2), [0.345, 0.611, 0.044, 0.000, 0.000, 0.000, 0.000], checks for var: 20
318: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.068, 0.932, 0.000, 0.000], checks for var: 18
319: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.001, 0.992, 0.006], checks for var: 19
323: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.999, 0.000, 0.000], checks for var: 16
324: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.877, 0.122, 0.000, 0.000, 0.000], checks for var: 20
326: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.004, 0.995, 0.001, 0.000, 0.000], checks for var: 17
329: expect=1, actual=np.int64(2), [0.000, 0.079, 0.005, 0.033, 0.188, 0.508, 0.187], checks for var: 20
331: expect=-2, actual=np.int64(-1), [0.000, 0.004, 0.869, 0.127, 0.000, 0.000, 0.000], checks for var: 20
334: expect=-3, actual=np.int64(-1), [0.042, 0.242, 0.716, 0.000, 0.000, 0.000, 0.000], checks for var: 19
336: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.037, 0.961, 0.002, 0.000], checks for var: 18
337: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.991, 0.001, 0.008, 0.001], checks for var: 19
339: expect=-2, actual=np.int64(-1), [0.000, 0.002, 0.989, 0.008, 0.001, 0.000, 0.000], checks for var: 17
340: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.005, 0.994, 0.000, 0.000, 0.000], checks for var: 20
341: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.475, 0.520, 0.004], checks for var: 17
342: expect=-1, actual=np.int64(2), [0.000, 0.005, 0.007, 0.059, 0.071, 0.852, 0.005], checks for var: 19
343: expect=1, actual=np.int64(0), [0.000, 0.000, 0.009, 0.980, 0.011, 0.000, 0.000], checks for var: 20
345: expect=1, actual=np.int64(0), [0.000, 0.000, 0.092, 0.908, 0.000, 0.000, 0.000], checks for var: 20
347: expect=2, actual=np.int64(1), [0.000, 0.000, 0.002, 0.455, 0.542, 0.001, 0.000], checks for var: 18
349: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.482, 0.476, 0.041, 0.001, 0.000], checks for var: 19
350: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.026, 0.959, 0.015], checks for var: 20
351: expect=1, actual=np.int64(0), [0.001, 0.008, 0.172, 0.817, 0.003, 0.000, 0.000], checks for var: 16
352: expect=2, actual=np.int64(0), [0.000, 0.000, 0.082, 0.635, 0.283, 0.000, 0.000], checks for var: 19
353: expect=2, actual=np.int64(-2), [0.013, 0.971, 0.014, 0.002, 0.000, 0.000, 0.000], checks for var: 19
355: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.999, 0.000, 0.000], checks for var: 19
358: expect=-1, actual=np.int64(-2), [0.066, 0.896, 0.037, 0.001, 0.000, 0.000, 0.000], checks for var: 20
359: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.032, 0.964, 0.004, 0.000], checks for var: 18
360: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.005, 0.994, 0.001, 0.000, 0.000], checks for var: 19
363: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.988, 0.011, 0.001, 0.000], checks for var: 16
365: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.026, 0.971, 0.003], checks for var: 19
367: expect=2, actual=np.int64(-1), [0.000, 0.002, 0.946, 0.013, 0.036, 0.001, 0.000], checks for var: 19
368: expect=1, actual=np.int64(0), [0.000, 0.055, 0.430, 0.509, 0.006, 0.000, 0.000], checks for var: 20
369: expect=-2, actual=np.int64(-3), [0.664, 0.336, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
375: expect=-2, actual=np.int64(-1), [0.000, 0.172, 0.625, 0.203, 0.000, 0.000, 0.000], checks for var: 17
376: expect=-3, actual=np.int64(-2), [0.008, 0.980, 0.011, 0.001, 0.000, 0.000, 0.000], checks for var: 19
377: expect=-3, actual=np.int64(-1), [0.001, 0.111, 0.721, 0.029, 0.093, 0.046, 0.000], checks for var: 18
378: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.008, 0.992, 0.000, 0.000, 0.000], checks for var: 15
379: expect=-1, actual=np.int64(0), [0.000, 0.017, 0.017, 0.964, 0.001, 0.000, 0.000], checks for var: 18
380: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.004, 0.996, 0.000, 0.000, 0.000], checks for var: 17
383: expect=1, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 17
386: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.996, 0.003, 0.000, 0.000], checks for var: 19
390: expect=1, actual=np.int64(0), [0.000, 0.000, 0.007, 0.991, 0.002, 0.000, 0.000], checks for var: 18
393: expect=2, actual=np.int64(-1), [0.000, 0.120, 0.802, 0.072, 0.004, 0.001, 0.000], checks for var: 20
394: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.005, 0.995, 0.000], checks for var: 19
396: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.003, 0.992, 0.005], checks for var: 19
398: expect=-3, actual=np.int64(0), [0.008, 0.006, 0.013, 0.951, 0.021, 0.000, 0.000], checks for var: 18
400: expect=-2, actual=np.int64(-1), [0.000, 0.003, 0.794, 0.198, 0.005, 0.000, 0.000], checks for var: 18
404: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 17
405: expect=0, actual=np.int64(-2), [0.000, 0.993, 0.006, 0.000, 0.000, 0.000, 0.000], checks for var: 19
407: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.226, 0.774], checks for var: 19
410: expect=-1, actual=np.int64(0), [0.000, 0.006, 0.111, 0.453, 0.429, 0.000, 0.000], checks for var: 18
413: expect=-1, actual=np.int64(-2), [0.002, 0.996, 0.002, 0.000, 0.000, 0.000, 0.000], checks for var: 18
414: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.223, 0.777, 0.000, 0.000, 0.000], checks for var: 19
416: expect=1, actual=np.int64(0), [0.000, 0.001, 0.419, 0.580, 0.000, 0.000, 0.000], checks for var: 19
418: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.001, 0.000, 0.000], checks for var: 18
420: expect=0, actual=np.int64(1), [0.000, 0.000, 0.015, 0.002, 0.983, 0.000, 0.000], checks for var: 20
422: expect=-2, actual=np.int64(-1), [0.004, 0.374, 0.550, 0.071, 0.001, 0.000, 0.000], checks for var: 18
423: expect=0, actual=np.int64(1), [0.000, 0.002, 0.040, 0.001, 0.956, 0.001, 0.000], checks for var: 20
424: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.045, 0.947, 0.008, 0.000], checks for var: 18
425: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.998, 0.001, 0.000], checks for var: 18
433: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.862, 0.120, 0.016, 0.001], checks for var: 17
435: expect=1, actual=np.int64(0), [0.000, 0.000, 0.007, 0.976, 0.014, 0.004, 0.000], checks for var: 18
436: expect=-3, actual=np.int64(-2), [0.000, 0.991, 0.008, 0.000, 0.000, 0.000, 0.000], checks for var: 19
