Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 65235)
rand_mask=b'\xb98?\x80q~\xd2s'
masked_addr=b'\xb9\xca\x9c#p~\xd2s'
target_addr=00f2a3a301000000
lowest_message_bit=14
key 0
4: expect=3, actual=np.int64(0), [0.000, 0.003, 0.016, 0.980, 0.000, 0.000, 0.000], checks for var: 19
321: expect=-2, actual=np.int64(-3), [1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
323: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.003, 0.327, 0.669, 0.001], checks for var: 19
324: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.059, 0.206, 0.735], checks for var: 20
327: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.406, 0.593, 0.000, 0.000, 0.000], checks for var: 18
328: expect=-1, actual=np.int64(-2), [0.000, 0.913, 0.087, 0.000, 0.000, 0.000, 0.000], checks for var: 19
334: expect=3, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.001, 0.926, 0.073], checks for var: 19
340: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.392, 0.608], checks for var: 19
341: expect=1, actual=np.int64(0), [0.012, 0.068, 0.041, 0.879, 0.001, 0.000, 0.000], checks for var: 20
344: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.001, 0.999, 0.000], checks for var: 17
348: expect=-1, actual=np.int64(-2), [0.005, 0.975, 0.019, 0.002, 0.000, 0.000, 0.000], checks for var: 18
350: expect=0, actual=np.int64(1), [0.000, 0.000, 0.059, 0.006, 0.929, 0.006, 0.000], checks for var: 19
353: expect=-1, actual=np.int64(-2), [0.122, 0.876, 0.002, 0.000, 0.000, 0.000, 0.000], checks for var: 20
359: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.001, 0.990, 0.010], checks for var: 18
362: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.952, 0.042, 0.006], checks for var: 19
371: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.165, 0.835], checks for var: 20
374: expect=-2, actual=np.int64(-3), [0.985, 0.015, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
379: expect=-1, actual=np.int64(-3), [0.933, 0.067, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 20
388: expect=0, actual=np.int64(-1), [0.000, 0.004, 0.942, 0.039, 0.014, 0.001, 0.000], checks for var: 20
393: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.015, 0.985], checks for var: 19
398: expect=0, actual=np.int64(-1), [0.001, 0.012, 0.980, 0.006, 0.000, 0.000, 0.000], checks for var: 19
399: expect=3, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.962, 0.038], checks for var: 19
405: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.998, 0.000, 0.000, 0.000, 0.000], checks for var: 19
407: expect=-2, actual=np.int64(-3), [0.994, 0.006, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
408: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.014, 0.949, 0.037, 0.000], checks for var: 18
412: expect=-1, actual=np.int64(-2), [0.002, 0.997, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 19
414: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000], checks for var: 19
419: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.921, 0.079, 0.000, 0.000, 0.000], checks for var: 19
422: expect=-1, actual=np.int64(-2), [0.017, 0.983, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
423: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.365, 0.032, 0.548, 0.055], checks for var: 20
429: expect=0, actual=np.int64(-1), [0.000, 0.110, 0.861, 0.028, 0.000, 0.000, 0.000], checks for var: 19
433: expect=-1, actual=np.int64(0), [0.001, 0.001, 0.042, 0.943, 0.012, 0.001, 0.000], checks for var: 19
434: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000], checks for var: 19
439: expect=0, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
441: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.269, 0.579, 0.151, 0.000], checks for var: 20
443: expect=-3, actual=np.int64(-2), [0.102, 0.898, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
445: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.999, 0.001, 0.000, 0.000, 0.000], checks for var: 19
446: expect=0, actual=np.int64(-1), [0.000, 0.002, 0.998, 0.000, 0.000, 0.000, 0.000], checks for var: 18
451: expect=1, actual=np.int64(0), [0.000, 0.000, 0.004, 0.936, 0.059, 0.000, 0.000], checks for var: 20
454: expect=0, actual=np.int64(1), [0.000, 0.000, 0.012, 0.262, 0.726, 0.000, 0.000], checks for var: 19
455: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.370, 0.625, 0.005], checks for var: 19
456: expect=0, actual=np.int64(-1), [0.001, 0.005, 0.933, 0.060, 0.001, 0.000, 0.000], checks for var: 19
457: expect=-1, actual=np.int64(0), [0.002, 0.024, 0.238, 0.713, 0.023, 0.000, 0.000], checks for var: 19
458: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.979, 0.019, 0.001, 0.000, 0.000], checks for var: 18
459: expect=-1, actual=np.int64(-2), [0.019, 0.884, 0.096, 0.000, 0.000, 0.000, 0.000], checks for var: 19
465: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.845, 0.154, 0.000, 0.000, 0.000], checks for var: 19
469: expect=0, actual=np.int64(-1), [0.000, 0.005, 0.504, 0.491, 0.000, 0.000, 0.000], checks for var: 20
473: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.385, 0.615], checks for var: 19
475: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.001, 0.074, 0.926], checks for var: 19
484: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.989, 0.001, 0.010, 0.000], checks for var: 19
487: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.167, 0.828, 0.005], checks for var: 19
491: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.028, 0.970, 0.002], checks for var: 19
497: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.023, 0.977, 0.000], checks for var: 20
500: expect=-1, actual=np.int64(-2), [0.003, 0.773, 0.223, 0.000, 0.000, 0.000, 0.000], checks for var: 19
502: expect=-2, actual=np.int64(-3), [0.998, 0.002, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
504: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.073, 0.927, 0.000], checks for var: 20
505: expect=-1, actual=np.int64(-2), [0.000, 0.571, 0.429, 0.000, 0.000, 0.000, 0.000], checks for var: 20
507: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.003, 0.993, 0.004], checks for var: 18
508: expect=-1, actual=np.int64(-2), [0.000, 0.983, 0.016, 0.001, 0.000, 0.000, 0.000], checks for var: 19
510: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000], checks for var: 18
Real number of measurements used = 9564
Average number of incorrect coefficients = 169.0
Difference array: [169]
Average oracle calls used = 3211.0
Timing information (per key) in ms
---- conditional pmf computation 0
---- LDPC decoder 91923.35525
---- LDPC decoder during batches 78467.234915
---- Base case handling (everything) 17887.59975
---- Computation of marginals for base 290.758212
---- Enumerating promising directions 60559.535714
---- Total time spend in batches 286140.496333
Number of correct oracle calls is 2540 out of 3211 leading to empirical accuracy 0.7910
y_statistic=defaultdict(<class 'int'>, {0: 673, 1: 1642})
