Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 64089)
rand_mask=b'EI\xec\x8b\x9dT\x86('
masked_addr=b'E\xfd\\(\x9cT\x86('
target_addr=00b4b0a301000000
lowest_message_bit=15
key 0
1: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.094, 0.904, 0.001, 0.000, 0.000], checks for var: 19
57: expect=1, actual=np.int64(2), [0.000, 0.002, 0.003, 0.163, 0.053, 0.779, 0.001], checks for var: 20
61: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000], checks for var: 19
64: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.002, 0.996, 0.001, 0.000], checks for var: 18
66: expect=2, actual=np.int64(1), [0.000, 0.000, 0.001, 0.058, 0.906, 0.024, 0.011], checks for var: 20
70: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.003, 0.997, 0.000, 0.000], checks for var: 19
76: expect=-1, actual=np.int64(2), [0.000, 0.002, 0.001, 0.009, 0.005, 0.975, 0.007], checks for var: 19
77: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.966, 0.033, 0.000, 0.000], checks for var: 19
80: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000], checks for var: 19
90: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.540, 0.457, 0.002, 0.000, 0.000], checks for var: 19
93: expect=-2, actual=np.int64(-3), [0.865, 0.135, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
100: expect=-1, actual=np.int64(-2), [0.004, 0.924, 0.068, 0.002, 0.001, 0.000, 0.000], checks for var: 20
106: expect=3, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.925, 0.075], checks for var: 19
112: expect=3, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.001, 0.000, 0.000], checks for var: 18
117: expect=0, actual=np.int64(1), [0.000, 0.000, 0.002, 0.031, 0.967, 0.000, 0.000], checks for var: 19
124: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.150, 0.305, 0.545, 0.001, 0.000], checks for var: 19
128: expect=-1, actual=np.int64(-2), [0.008, 0.988, 0.004, 0.000, 0.000, 0.000, 0.000], checks for var: 19
129: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.201, 0.225, 0.574], checks for var: 20
130: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.019, 0.292, 0.661, 0.028], checks for var: 19
133: expect=-3, actual=np.int64(-1), [0.000, 0.027, 0.972, 0.001, 0.000, 0.000, 0.000], checks for var: 20
141: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.109, 0.887, 0.005, 0.000, 0.000], checks for var: 19
144: expect=-1, actual=np.int64(0), [0.000, 0.006, 0.373, 0.617, 0.004, 0.000, 0.000], checks for var: 20
146: expect=-2, actual=np.int64(-1), [0.012, 0.335, 0.653, 0.000, 0.000, 0.000, 0.000], checks for var: 20
147: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.388, 0.611, 0.000, 0.000], checks for var: 19
149: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.111, 0.258, 0.631], checks for var: 20
153: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.087, 0.756, 0.157], checks for var: 19
159: expect=-1, actual=np.int64(-2), [0.006, 0.707, 0.287, 0.000, 0.000, 0.000, 0.000], checks for var: 19
160: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.985, 0.015, 0.000, 0.000, 0.000], checks for var: 18
171: expect=-1, actual=np.int64(-2), [0.000, 0.927, 0.073, 0.000, 0.000, 0.000, 0.000], checks for var: 19
175: expect=-1, actual=np.int64(-2), [0.001, 0.974, 0.020, 0.005, 0.000, 0.000, 0.000], checks for var: 19
176: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.007, 0.993, 0.000, 0.000, 0.000], checks for var: 17
183: expect=-1, actual=np.int64(-2), [0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
191: expect=1, actual=np.int64(0), [0.000, 0.000, 0.045, 0.560, 0.395, 0.000, 0.000], checks for var: 20
192: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.992, 0.008, 0.000, 0.000, 0.000], checks for var: 19
194: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.038, 0.115, 0.847], checks for var: 18
197: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.004, 0.948, 0.048], checks for var: 18
198: expect=-1, actual=np.int64(-2), [0.001, 0.942, 0.057, 0.000, 0.000, 0.000, 0.000], checks for var: 18
205: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000], checks for var: 19
212: expect=3, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.001, 0.943, 0.057], checks for var: 19
215: expect=-2, actual=np.int64(-1), [0.000, 0.006, 0.994, 0.000, 0.000, 0.000, 0.000], checks for var: 19
221: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.030, 0.304, 0.665], checks for var: 19
228: expect=3, actual=np.int64(2), [0.000, 0.000, 0.000, 0.002, 0.037, 0.960, 0.001], checks for var: 19
232: expect=0, actual=np.int64(-1), [0.009, 0.033, 0.921, 0.037, 0.000, 0.000, 0.000], checks for var: 19
234: expect=-3, actual=np.int64(-2), [0.004, 0.804, 0.193, 0.000, 0.000, 0.000, 0.000], checks for var: 20
236: expect=0, actual=np.int64(-1), [0.004, 0.205, 0.788, 0.003, 0.000, 0.000, 0.000], checks for var: 20
237: expect=-1, actual=np.int64(-2), [0.001, 0.999, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
241: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.014, 0.983, 0.004, 0.000], checks for var: 20
246: expect=-2, actual=np.int64(-3), [0.840, 0.160, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
247: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.955, 0.045, 0.000], checks for var: 19
255: expect=-2, actual=np.int64(-3), [0.976, 0.024, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
260: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.238, 0.734, 0.027, 0.000], checks for var: 20
261: expect=-2, actual=np.int64(-3), [0.896, 0.104, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
262: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.694, 0.305, 0.000, 0.000, 0.000], checks for var: 18
273: expect=0, actual=np.int64(-1), [0.000, 0.004, 0.993, 0.002, 0.000, 0.000, 0.000], checks for var: 19
276: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.030, 0.970, 0.000], checks for var: 18
277: expect=-2, actual=np.int64(-1), [0.000, 0.003, 0.997, 0.000, 0.000, 0.000, 0.000], checks for var: 18
279: expect=-1, actual=np.int64(-2), [0.002, 0.769, 0.229, 0.000, 0.000, 0.000, 0.000], checks for var: 19
282: expect=-1, actual=np.int64(-3), [0.812, 0.187, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 19
283: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.870, 0.099, 0.031, 0.000], checks for var: 19
285: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.025, 0.949, 0.026], checks for var: 19
287: expect=1, actual=np.int64(0), [0.000, 0.002, 0.068, 0.598, 0.331, 0.000, 0.000], checks for var: 19
289: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.144, 0.856], checks for var: 19
293: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.005, 0.995, 0.000], checks for var: 18
297: expect=0, actual=np.int64(1), [0.000, 0.017, 0.110, 0.082, 0.791, 0.000, 0.000], checks for var: 20
298: expect=-1, actual=np.int64(0), [0.000, 0.002, 0.081, 0.775, 0.140, 0.002, 0.001], checks for var: 19
301: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.294, 0.706], checks for var: 20
303: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.008, 0.030, 0.961], checks for var: 19
305: expect=-1, actual=np.int64(-3), [0.830, 0.090, 0.080, 0.000, 0.000, 0.000, 0.000], checks for var: 20
306: expect=-1, actual=np.int64(-2), [0.000, 0.977, 0.023, 0.000, 0.000, 0.000, 0.000], checks for var: 19
309: expect=1, actual=np.int64(0), [0.000, 0.001, 0.072, 0.910, 0.016, 0.000, 0.000], checks for var: 18
313: expect=-2, actual=np.int64(-1), [0.011, 0.358, 0.631, 0.000, 0.000, 0.000, 0.000], checks for var: 19
318: expect=1, actual=np.int64(0), [0.000, 0.001, 0.014, 0.982, 0.003, 0.000, 0.000], checks for var: 19
321: expect=-1, actual=np.int64(1), [0.000, 0.002, 0.001, 0.002, 0.988, 0.006, 0.001], checks for var: 18
328: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.982, 0.015, 0.003, 0.000], checks for var: 19
338: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.041, 0.942, 0.017, 0.000], checks for var: 17
342: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.727, 0.273, 0.000, 0.000, 0.000], checks for var: 20
352: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.989, 0.010, 0.000, 0.000, 0.000], checks for var: 17
355: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.002, 0.155, 0.809, 0.033, 0.001], checks for var: 19
362: expect=-3, actual=np.int64(-2), [0.185, 0.815, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
369: expect=-1, actual=np.int64(-2), [0.016, 0.682, 0.298, 0.004, 0.000, 0.000, 0.000], checks for var: 16
378: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.985, 0.015, 0.000, 0.000], checks for var: 18
380: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.014, 0.986, 0.000], checks for var: 19
385: expect=0, actual=np.int64(2), [0.000, 0.000, 0.325, 0.127, 0.086, 0.450, 0.012], checks for var: 20
391: expect=-1, actual=np.int64(-2), [0.319, 0.551, 0.130, 0.000, 0.000, 0.000, 0.000], checks for var: 20
392: expect=-1, actual=np.int64(-2), [0.001, 0.999, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 18
394: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.007, 0.990, 0.003, 0.000, 0.000], checks for var: 19
396: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.234, 0.766, 0.000, 0.000, 0.000], checks for var: 17
401: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.019, 0.981, 0.001], checks for var: 19
402: expect=-1, actual=np.int64(-3), [0.588, 0.405, 0.008, 0.000, 0.000, 0.000, 0.000], checks for var: 20
405: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.001, 0.348, 0.650, 0.000], checks for var: 19
412: expect=-2, actual=np.int64(-1), [0.000, 0.210, 0.790, 0.000, 0.000, 0.000, 0.000], checks for var: 19
417: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.044, 0.925, 0.025, 0.005, 0.000], checks for var: 19
418: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.765, 0.235, 0.000, 0.000, 0.000], checks for var: 20
419: expect=-1, actual=np.int64(-2), [0.000, 0.996, 0.004, 0.000, 0.000, 0.000, 0.000], checks for var: 18
423: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.011, 0.982, 0.007], checks for var: 20
425: expect=0, actual=np.int64(-1), [0.000, 0.002, 0.985, 0.008, 0.004, 0.000, 0.000], checks for var: 19
427: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.296, 0.603, 0.100, 0.000], checks for var: 20
430: expect=1, actual=np.int64(2), [0.000, 0.000, 0.001, 0.003, 0.003, 0.990, 0.003], checks for var: 19
431: expect=-1, actual=np.int64(1), [0.001, 0.017, 0.052, 0.215, 0.556, 0.158, 0.000], checks for var: 20
433: expect=1, actual=np.int64(-1), [0.001, 0.002, 0.500, 0.233, 0.080, 0.185, 0.000], checks for var: 18
434: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.510, 0.490, 0.000, 0.000], checks for var: 19
436: expect=0, actual=np.int64(1), [0.000, 0.000, 0.001, 0.059, 0.940, 0.000, 0.000], checks for var: 20
442: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 18
443: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.962, 0.038, 0.000, 0.000, 0.000], checks for var: 20
444: expect=-1, actual=np.int64(-2), [0.004, 0.995, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 18
446: expect=-1, actual=np.int64(0), [0.000, 0.391, 0.046, 0.563, 0.000, 0.000, 0.000], checks for var: 20
451: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.560, 0.439, 0.000, 0.000, 0.000], checks for var: 19
456: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.552, 0.445, 0.003, 0.000, 0.000], checks for var: 19
457: expect=-1, actual=np.int64(-2), [0.000, 0.990, 0.010, 0.000, 0.000, 0.000, 0.000], checks for var: 19
459: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.029, 0.965, 0.005, 0.000, 0.000], checks for var: 19
460: expect=0, actual=np.int64(-1), [0.000, 0.105, 0.645, 0.211, 0.039, 0.000, 0.000], checks for var: 18
470: expect=3, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.866, 0.036, 0.098], checks for var: 18
478: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.110, 0.889, 0.000, 0.000, 0.000], checks for var: 19
481: expect=-1, actual=np.int64(-2), [0.172, 0.828, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 20
482: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.002, 0.994, 0.004, 0.000], checks for var: 18
490: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.182, 0.817, 0.001], checks for var: 19
493: expect=-2, actual=np.int64(0), [0.002, 0.021, 0.008, 0.959, 0.010, 0.000, 0.000], checks for var: 18
494: expect=1, actual=np.int64(-1), [0.000, 0.000, 0.960, 0.035, 0.003, 0.002, 0.000], checks for var: 17
501: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.003, 0.004, 0.993], checks for var: 18
504: expect=-1, actual=np.int64(-2), [0.000, 0.649, 0.219, 0.131, 0.000, 0.000, 0.000], checks for var: 20
509: expect=-2, actual=np.int64(-3), [0.996, 0.004, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
Real number of measurements used = 15440
Average number of incorrect coefficients = 134.0
Difference array: [134]
Average oracle calls used = 3174.0
Timing information (per key) in ms
---- conditional pmf computation 0
---- LDPC decoder 87036.876166
---- LDPC decoder during batches 76300.075872
---- Base case handling (everything) 28827.132541
---- Computation of marginals for base 294.761999
---- Enumerating promising directions 60167.324349
---- Total time spend in batches 292212.832041
Number of correct oracle calls is 2576 out of 3174 leading to empirical accuracy 0.8116
y_statistic=defaultdict(<class 'int'>, {1: 1390, 0: 888})
